LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
971192,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971196,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971197,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971198,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971200,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971201,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971202,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971203,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971204,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971206,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971207,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971208,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971209,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971210,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971211,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971213,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971214,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971215,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971216,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971217,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971218,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971219,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971220,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971221,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971222,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971223,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971224,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,4,NA,NA
971225,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971226,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971227,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971228,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971229,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971230,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
